clipfrac,total_timesteps,time_elapsed,fps,policy_loss,eplenmean,policy_entropy,approxkl,nupdates,value_loss,explained_variance,serial_timesteps,eprewmean
0.027130127,2850816,2045.046166419983,1389,0.0011885973,2007.43,0.24217862,0.00081364874,174,4911.168,0.9856767188757658,356352,-28187.39004396
0.028884888,2867200,2057.24285697937,1343,0.0010898979,1965.93,0.3630142,0.0006366319,175,5542.2188,0.9828622825443745,358400,-28389.370679490003
0.02116394,2883584,2068.8201200962067,1415,0.00057371386,2004.85,0.2735595,0.00038053936,176,4768.7827,0.985245973803103,360448,-28514.380214770004
0.025131226,2899968,2080.785596370697,1369,0.0009165757,2014.23,0.316444,0.0006523749,177,5153.5117,0.9845727635547519,362496,-28693.233783190008
0.024871826,2916352,2092.5381047725677,1394,0.0014627145,2007.82,0.26202497,0.00067210617,178,5402.177,0.9844380421563983,364544,-28818.322865280003
0.023880005,2932736,2104.634902238846,1354,0.00068995357,2002.68,0.24610206,0.0004968598,179,6051.754,0.9829574692994356,366592,-29153.190030460002
0.045562744,2949120,2115.5052931308746,1507,0.0058267065,1988.68,0.18171357,0.004100355,180,4376.8545,0.9867110373452306,368640,-29025.413635689994
0.010391235,2965504,2126.4824438095093,1492,0.00048256596,1955.1,0.19116722,0.00023196988,181,3464.0503,0.9869440561160445,370688,-29201.77060057
0.05178833,2981888,2138.0532665252686,1416,0.0053959764,1939.5,0.26381117,0.0026061872,182,6354.1523,0.9823577608913183,372736,-29129.284570420008
0.012420654,2998272,2149.795343875885,1395,0.00027844263,1849.05,0.24767108,0.00027022744,183,5695.382,0.9844941394403577,374784,-29070.880779060004
0.012512207,3014656,2161.478184938431,1402,0.0005209823,1652.52,0.23962857,0.00041517848,184,5182.5107,0.9861220251768827,376832,-29043.258985840002
